word_en	pos_en	word_sr	word_sr_full	reflexive	pos_sr	lemma_sr	gt_PoS_valid	gt_lemma_valid	gt_valid
accountant	NOUN	računovođa	računovođa	0	NOUN	računovođa	True	True	True
accredit	VERB			0	VERB		True	False	False
accredited	ADJ	akreditovan	akreditovan	0	ADJ	akreditovan	True	True	True
accurate	ADJ	tačan	tačan	0	ADJ	tačan	True	True	True
accurse	VERB			0	VERB		True	False	False
accursed	ADJ	prokleti	prokleti	0	ADJ	proklet	True	False	False
accusation	NOUN	optužba	optužba	0	NOUN	optužba	True	True	True
accuse	VERB			0	VERB		True	False	False
accused	NOUN	optuženi	optuženi	0	NOUN		True	False	False
accuser	NOUN	tužitelj	tužitelj	0	NOUN	tužitelj	True	True	True
accusing	ADJ	optužujući	optužujući	0	ADJ	optužujući	True	True	True
ache	NOUN	bol	bol	0	NOUN	bol	True	True	True
ache	VERB	bol	bol	0	VERB		True	False	False
achieve	VERB	postići	postići	0	VERB	postignuti	True	False	False
achievement	NOUN	dostignuće	dostignuće	0	NOUN	dostignuće	True	True	True
aching	ADJ	bolan	bolan	0	ADJ	bolan	True	True	True
aching	NOUN	bolan	bolan	0	NOUN		True	False	False
acquire	VERB	steći	steći	0	VERB	steći	True	True	True
acquiring	NOUN	sticanje	sticanje	0	NOUN	sticanje	True	True	True
acrobat	NOUN	akrobat	akrobat	0	NOUN	akrobat	True	True	True
actionable	ADJ	delotvoran	delotvoran	0	ADJ	delotvoran	True	True	True
adder	NOUN	guja	guja	0	NOUN	guja	True	True	True
address	VERB	adresa	adresa	0	VERB		True	False	False
addresses	NOUN	adrese	adrese	0	NOUN	adresa	True	False	False
adhere	VERB	pridržavaju	pridržavaju	0	VERB	pridržavati	True	False	False
adjudicate	VERB	presuđivati	presuđivati	0	VERB	presuđivati	True	True	True
administrative	ADJ	administrativni	administrativni	0	ADJ	administrativan	True	False	False
admirable	ADJ	dostojan divljenja	dostojan divljenja	0	MWE		True	False	False
admiral	NOUN	admiral	admiral	0	NOUN	admiral	True	True	True
admiration	NOUN	divljenje	divljenje	0	NOUN	divljenje	True	True	True
admire	VERB	diviti	diviti se	1	VERB	diviti	True	True	True
admissible	ADJ	dopustiv	dopustiv	0	ADJ	dopustiv	True	True	True
admonition	NOUN	opomena	opomena	0	NOUN	opomena	True	True	True
adorable	ADJ	divan	divan	0	ADJ	divan	True	True	True
adoration	NOUN	obožavanje	obožavanje	0	NOUN	obožavanje	True	True	True
adore	VERB	obožavam	obožavam	0	VERB	obožavati	True	False	False
adrift	ADJ	lebdeći	lebdeći	0	ADJ	lebdeći	True	True	True
adrift	ADV	lebdeći	lebdeći	0	ADV		True	False	False
adultery	NOUN	preljuba	preljuba	0	NOUN	preljuba	True	True	True
advance	ADJ	unapred	unapred	0	ADJ		True	False	False
advance	NOUN	unapred	unapred	0	NOUN		True	False	False
advance	VERB	unapred	unapred	0	VERB		True	False	False
advent	NOUN	advent	advent	0	NOUN		True	False	False
adventure	NOUN	avantura	avantura	0	NOUN	avantura	True	True	True
adventure	VERB	avantura	avantura	0	VERB		True	False	False
adversary	NOUN	protivnik	protivnik	0	NOUN	protivnik	True	True	True
adverse	ADJ	štetan	štetan	0	ADJ	štetan	True	True	True
adversity	NOUN	nedaće	nedaće	0	NOUN	nedaća	True	False	False
advice	NOUN	savet	savet	0	NOUN	savet	True	True	True
advisable	ADJ	preporučljiv	preporučljiv	0	ADJ	preporučljiv	True	True	True
advise	VERB	savetovati	savetovati	0	VERB	savetovati	True	True	True
advised	ADJ	savetovan	savetovan	0	ADJ	savetovan	True	True	True
adviser	NOUN	savetnik	savetnik	0	NOUN	savetnik	True	True	True
advocacy	NOUN	advokatura	advokatura	0	NOUN	advokatura	True	True	True
advocate	NOUN	zagovornik	zagovornik	0	NOUN	zagovornik	True	True	True
advocate	VERB	zagovornik	zagovornik	0	VERB		True	False	False
aesthetics	NOUN	estetika	estetika	0	NOUN	estetika	True	True	True
affection	NOUN	naklonost	naklonost	0	NOUN	naklonost	True	True	True
affirm	VERB	afirmisati	afirmisati	0	VERB	afirmisati	True	True	True
affirmatively	ADV	afirmativno	afirmativno	0	ADV		True	False	False
afflict	VERB	aficirati	aficirati	0	VERB		True	False	False
affliction	NOUN	nevolja	nevolja	0	NOUN	nevolja	True	True	True
affluence	NOUN	bogatstvo	bogatstvo	0	NOUN	bogatstvo	True	True	True
affront	NOUN	uvrede	uvrede	0	NOUN	uvreda	True	False	False
affront	VERB	uvrede	uvrede	0	VERB	uvrediti	True	False	False
afraid	ADJ	uplašen	uplašen	0	ADJ	uplašen	True	True	True
aftermath	NOUN	posledice	posledice	0	NOUN	posledica	True	False	False
aga	NOUN	aga	aga	0	NOUN	aga	True	True	True
aggravate	VERB			0	VERB		True	False	False
aggravated	ADJ	otežano	otežano	0	ADJ	otežan	True	False	False
aggravating	ADJ	otežavajuće	otežavajuće	0	ADJ	otežavajući	True	False	False
aggravation	NOUN	pogoršanje	pogoršanje	0	NOUN	pogoršanje	True	True	True
aggression	NOUN	agresija	agresija	0	NOUN	agresija	True	True	True
aggressive	ADJ	agresivan	agresivan	0	ADJ	agresivan	True	True	True
aggressor	NOUN	agresor	agresor	0	NOUN	agresor	True	True	True
aghast	ADJ	zgrožen	zgrožen	0	ADJ	zgrožen	True	True	True
agitate	VERB			0	VERB		True	False	False
agitated	ADJ	uznemiren	uznemiren	0	ADJ	uznemiren	True	True	True
agitation	NOUN	uznemirenost	uznemirenost	0	NOUN	uznemirenost	True	True	True
agonize	VERB			0	VERB		True	False	False
agonizing	ADJ	agonizirajući	agonizirajući	0	ADJ		True	False	False
agony	NOUN	agonija	agonija	0	NOUN	agonija	True	True	True
agree	VERB	dogovoriti	dogovoriti se	1	VERB	dogovoriti	True	True	True
agreeable	ADJ	prijatan	prijatan	0	ADJ	prijatan	True	True	True
agreed	ADJ	pristao	pristao	0	ADJ	pristao	True	True	True
agreement	NOUN	dogovor	dogovor	0	NOUN	dogovor	True	True	True
ail	NOUN	ail	ail	0	NOUN		True	False	False
ail	VERB	ail	ail	0	VERB		True	False	False
ailing	ADJ	ailing	ailing	0	ADJ		True	False	False
air	VERB	vazduh	vazduh	0	VERB		True	False	False
airport	NOUN	aerodrom	aerodrom	0	NOUN	aerodrom	True	True	True
airs	NOUN	vazduha	vazduha	0	NOUN	vazduh	True	False	False
akin	ADJ	srodan	srodan	0	ADJ	srodan	True	True	True
alarm	NOUN	alarmni	alarmni	0	NOUN		True	False	False
alarm	VERB	alarmni	alarmni	0	VERB		True	False	False
alarming	ADJ	alarmantno	alarmantno	0	ADJ	alarmantan	True	False	False
alb	NOUN	alb	alb	0	NOUN		True	False	False
alcoholism	NOUN	alkoholizam	alkoholizam	0	NOUN	alkoholizam	True	True	True
alert	NOUN	upozorenje	upozorenje	0	NOUN	upozorenje	True	True	True
alert	VERB	uzbuna	uzbuna	0	VERB		True	False	False
alertness	NOUN	budnost	budnost	0	NOUN	budnost	True	True	True
alien	ADJ	vanzemaljac	vanzemaljac	0	ADJ		True	False	False
alien	NOUN	vanzemaljac	vanzemaljac	0	NOUN	vanzemaljac	True	True	True
alien	VERB	vanzemaljac	vanzemaljac	0	VERB		True	False	False
alienate	VERB	otuđiti	otuđiti	0	VERB	otuđiti	True	True	True
alienated	ADJ	otuđen	otuđen	0	ADJ	otuđen	True	True	True
alienation	NOUN	otuđenje	otuđenje	0	NOUN	otuđenje	True	True	True
alive	ADJ	živ	živ	0	ADJ	živ	True	True	True
allegation	NOUN	navod	navod	0	NOUN	navod	True	True	True
allegiance	NOUN	odanost	odanost	0	NOUN	odanost	True	True	True
alliance	NOUN	savez	savez	0	NOUN	savez	True	True	True
allied	ADJ	saveznički	saveznički	0	ADJ	saveznički	True	True	True
allure	NOUN	privlačnost	privlačnost	0	NOUN	privlačnost	True	True	True
allure	VERB	privlačnost	privlačnost	0	VERB		True	False	False
ally	NOUN	saveznik	saveznik	0	NOUN	saveznik	True	True	True
ally	VERB	saveznik	saveznik	0	VERB		True	False	False
aloha	NOUN	aloha	aloha	0	NOUN		True	False	False
altercation	NOUN	svađanje	svađanje	0	NOUN	svađanje	True	True	True
amaze	VERB	zadiviti	zadiviti	0	VERB	zadiviti	True	True	True
amazingly	ADV	neverovatno	neverovatno	0	ADV	neverovatno	True	True	True
ambassador	NOUN	ambasador	ambasador	0	NOUN	ambasador	True	True	True
ambition	NOUN	ambicija	ambicija	0	NOUN	ambicija	True	True	True
ambition	VERB	ambicija	ambicija	0	VERB		True	False	False
ambulance	NOUN	hitna pomoć	hitna pomoć	0	MWE		True	False	False
ambush	NOUN	zaseda	zaseda	0	NOUN	zaseda	True	True	True
ambush	VERB	zaseda	zaseda	0	VERB	zasedati	True	False	False
amen	NOUN	amin	amin	0	NOUN	amin	True	True	True
amicable	ADJ	prijateljski	prijateljski	0	ADJ	prijateljski	True	True	True
ammonia	NOUN	amonijak	amonijak	0	NOUN	amonijak	True	True	True
amnesty	NOUN	amnestija	amnestija	0	NOUN	amnestija	True	True	True
amnesty	VERB	amnestija	amnestija	0	VERB		True	False	False
amortization	NOUN	amortizacija	amortizacija	0	NOUN	amortizacija	True	True	True
amour	NOUN	amour	amour	0	NOUN		True	False	False
amphetamines	NOUN	amfetamine	amfetamine	0	NOUN	amfetamin	True	False	False
amuse	VERB	zabaviti	zabaviti	0	VERB	zabaviti	True	True	True
amused	ADJ	zabavljena	zabavljena	0	ADJ	zabavljen	True	False	False
amusement	NOUN	zabava	zabava	0	NOUN	zabava	True	True	True
amusing	ADJ	zabavan	zabavan	0	ADJ	zabavan	True	True	True
anaconda	NOUN	anakonda	anakonda	0	NOUN	anakonda	True	True	True
analyst	NOUN	analitičar	analitičar	0	NOUN	analitičar	True	True	True
anarchism	NOUN	anarhizam	anarhizam	0	NOUN	anarhizam	True	True	True
anarchist	NOUN	anarhista	anarhista	0	NOUN	anarhista	True	True	True
anarchy	NOUN	anarhija	anarhija	0	NOUN	anarhija	True	True	True
anathema	NOUN	anatema	anatema	0	NOUN	anatema	True	True	True
ancestral	ADJ	predaka	predaka	0	ADJ		True	False	False
anchorage	NOUN	sidrište	sidrište	0	NOUN	sidrište	True	True	True
angel	NOUN	anđeo	anđeo	0	NOUN	anđeo	True	True	True
angelic	ADJ	anđeoski	anđeoski	0	ADJ	anđeoski	True	True	True
anger	NOUN	ljutnja	ljutnja	0	NOUN	ljutnja	True	True	True
anger	VERB	ljutnja	ljutnja	0	VERB		True	False	False
angina	NOUN	angina	angina	0	NOUN	angina	True	True	True
angle	VERB	ugao	ugao	0	VERB		True	False	False
angling	NOUN	pecarenje	pecarenje	0	NOUN		True	False	False
angry	ADJ	ljut	ljut	0	ADJ	ljut	True	True	True
anguish	NOUN	teskoba	teskoba	0	NOUN	teskoba	True	True	True
anguish	VERB	teskoba	teskoba	0	VERB		True	False	False
animate	VERB	animirati	animirati	0	VERB	animirati	True	True	True
animated	ADJ	animirani	animirani	0	ADJ	animiran	True	False	False
animosity	NOUN	animozitet	animozitet	0	NOUN	animozitet	True	True	True
animus	NOUN	animus	animus	0	NOUN		True	False	False
annihilate	VERB	poništiti	poništiti	0	VERB	poništiti	True	True	True
annihilated	ADJ	poništen	poništen	0	ADJ	poništen	True	True	True
annihilation	NOUN	uništenje	uništenje	0	NOUN	uništenje	True	True	True
announcement	NOUN	saopštenje	saopštenje	0	NOUN	saopštenje	True	True	True
annoy	VERB	nervirati	nervirati	0	VERB	nervirati	True	True	True
annoyance	NOUN	dosađivanje	dosađivanje	0	NOUN	dosađivanje	True	True	True
annoying	ADJ	dosadno	dosadno	0	ADJ	dosadan	True	False	False
annoying	NOUN	dosadno	dosadno	0	NOUN		True	False	False
annulment	NOUN	poništenje	poništenje	0	NOUN	poništenje	True	True	True
anomaly	NOUN	anomalija	anomalija	0	NOUN	anomalija	True	True	True
answerable	ADJ	odgovoran	odgovoran	0	ADJ	odgovoran	True	True	True
antagonism	NOUN	antagonizam	antagonizam	0	NOUN	antagonizam	True	True	True
antagonist	NOUN	antagonista	antagonista	0	NOUN	antagonista	True	True	True
antagonistic	ADJ	antagonistički	antagonistički	0	ADJ	antagonistički	True	True	True
anthrax	NOUN	antraks	antraks	0	NOUN	antraks	True	True	True
antichrist	NOUN	antihrist	antihrist	0	NOUN	antihrist	True	True	True
anticipation	NOUN	iščekivanje	iščekivanje	0	NOUN	iščekivanje	True	True	True
anticipatory	ADJ	anticipativno	anticipativno	0	ADJ	anticipativan	True	False	False
antidote	NOUN	protivotrov	protivotrov	0	NOUN	protivotrov	True	True	True
antifungal	ADJ	antifungalni	antifungalni	0	ADJ	antifungalni	True	True	True
antifungal	NOUN	antifungalni	antifungalni	0	NOUN		True	False	False
antipathy	NOUN	antipatija	antipatija	0	NOUN	antipatija	True	True	True
antiseptic	ADJ	antiseptik	antiseptik	0	ADJ		True	False	False
antiseptic	NOUN	antiseptik	antiseptik	0	NOUN	antiseptik	True	True	True
antisocial	ADJ	asocijalna	asocijalna	0	ADJ	asocijalan	True	False	False
antithesis	NOUN	antiteza	antiteza	0	NOUN	antiteza	True	True	True
anxiety	NOUN	anksioznost	anksioznost	0	NOUN	anksioznost	True	True	True
anxious	ADJ	uznemiren	uznemiren	0	ADJ	uznemiren	True	True	True
apache	NOUN	apache	apache	0	NOUN		True	False	False
apathetic	ADJ	apatičan	apatičan	0	ADJ	apatičan	True	True	True
apathy	NOUN	apatija	apatija	0	NOUN	apatija	True	True	True
aphid	NOUN	lisne uši	lisne uši	0	MWE		True	False	False
apologetic	ADJ	apologetski	apologetski	0	ADJ	apologetski	True	True	True
apologize	VERB	izviniti	izviniti se	1	VERB	izviniti	True	True	True
apostle	NOUN	apostol	apostol	0	NOUN	apostol	True	True	True
apostolic	ADJ	apostolski	apostolski	0	ADJ	apostolski	True	True	True
appal	VERB			0	VERB		True	False	False
appalling	ADJ	užasavajuće	užasavajuće	0	ADJ	užasavajući	True	False	False
appalling	NOUN	užasavajuće	užasavajuće	0	NOUN		True	False	False
apparition	NOUN	priviđenje	priviđenje	0	NOUN	priviđenje	True	True	True
appeal	NOUN	žalba	žalba	0	NOUN	žalba	True	True	True
appeal	VERB	žalba	žalba	0	VERB		True	False	False
appendicitis	NOUN	upala slepog creva	upala slepog creva	0	MWE		True	False	False
applause	NOUN	aplauz	aplauz	0	NOUN	aplauz	True	True	True
applicant	NOUN	podnosilac zahteva	podnosilac zahteva	0	MWE		True	False	False
appreciation	NOUN	uvažavanje	uvažavanje	0	NOUN	uvažavanje	True	True	True
apprehend	VERB	privesti	privesti	0	VERB	privesti	True	True	True
apprehension	NOUN	privođenje	privođenje	0	NOUN	privođenje	True	True	True
apprehensive	ADJ	uplašen	uplašen	0	ADJ	uplašen	True	True	True
apprentice	NOUN	šegrt	šegrt	0	NOUN	šegrt	True	True	True
apprentice	VERB	šegrt	šegrt	0	VERB		True	False	False
approaching	ADJ	približavajući	približavajući se	1	ADJ		True	False	False
approaching	NOUN	približavajući	približavajući se	1	NOUN		True	False	False
approbation	NOUN	odobravanje	odobravanje	0	NOUN	odobravanje	True	True	True
approve	VERB	odobriti	odobriti	0	VERB	odobriti	True	True	True
arbiter	NOUN	arbitar	arbitar	0	NOUN	arbitar	True	True	True
arbitration	NOUN	arbitraža	arbitraža	0	NOUN	arbitraža	True	True	True
arbitrator	NOUN	arbitar	arbitar	0	NOUN	arbitar	True	True	True
archaeology	NOUN	arheologija	arheologija	0	NOUN	arheologija	True	True	True
architecture	NOUN	arhitektura	arhitektura	0	NOUN	arhitektura	True	True	True
ardent	ADJ	vatren	vatren	0	ADJ	vatren	True	True	True
argue	VERB	raspravljati	raspravljati	0	VERB	raspravljati	True	True	True
argument	NOUN	rasprava	rasprava	0	NOUN	rasprava	True	True	True
argumentation	NOUN	argumentacija	argumentacija	0	NOUN	argumentacija	True	True	True
arid	ADJ	arid	arid	0	ADJ		True	False	False
arm	VERB	ruku	ruku	0	VERB		True	False	False
armament	NOUN	naoružanje	naoružanje	0	NOUN	naoružanje	True	True	True
armed	ADJ	naoružani	naoružani	0	ADJ	naoružan	True	False	False
armor	NOUN	oklop	oklop	0	NOUN	oklop	True	True	True
armor	VERB	oklop	oklop	0	VERB		True	False	False
armored	ADJ	oklopni	oklopni	0	ADJ	oklopni	True	True	True
armory	NOUN	oružarnica	oružarnica	0	NOUN	oružarnica	True	True	True
arouse	VERB	uzbuditi	uzbuditi	0	VERB	uzbuditi	True	True	True
arraignment	NOUN	arraignment	arraignment	0	NOUN		True	False	False
arrival	NOUN	dolazak	dolazak	0	NOUN	dolazak	True	True	True
arrive	VERB	stići	stići	0	VERB	stignuti	True	False	False
arrogant	ADJ	arogantan	arogantan	0	ADJ	arogantan	True	True	True
arsenic	NOUN	arsenik	arsenik	0	NOUN	arsenik	True	True	True
arson	NOUN	paljevina	paljevina	0	NOUN	paljevina	True	True	True
art	NOUN	umetnost	umetnost	0	NOUN	umetnost	True	True	True
artillery	NOUN	artiljerija	artiljerija	0	NOUN	artiljerija	True	True	True
ash	NOUN	pepeo	pepeo	0	NOUN	pepeo	True	True	True
ash	VERB	pepeo	pepeo	0	VERB		True	False	False
ashamed	ADJ	stidi	stidi se	1	ADJ		True	False	False
asp	NOUN	asp	asp	0	NOUN		True	False	False
aspiration	NOUN	težnja	težnja	0	NOUN	težnja	True	True	True
aspire	VERB	težiti	težiti	0	VERB	težiti	True	True	True
aspiring	ADJ	težnji	težnji	0	ADJ		True	False	False
assail	VERB	assail	assail	0	VERB		True	False	False
assailant	NOUN	napadač	napadač	0	NOUN	napadač	True	True	True
assassin	NOUN	assassin	assassin	0	NOUN		True	False	False
assassinate	VERB	atentat	atentat	0	VERB		True	False	False
assassination	NOUN	atentat	atentat	0	NOUN	atentat	True	True	True
assault	NOUN	napad	napad	0	NOUN	napad	True	True	True
assault	VERB	napad	napad	0	VERB		True	False	False
assembly	NOUN	skupština	skupština	0	NOUN	skupština	True	True	True
assert	VERB	tvrditi	tvrditi	0	VERB	tvrditi	True	True	True
asserting	ADJ	potvrđujući	potvrđujući	0	ADJ		True	False	False
assessment	NOUN	procena	procena	0	NOUN	procena	True	True	True
assessor	NOUN	procenitelj	procenitelj	0	NOUN	procenitelj	True	True	True
asshole	NOUN	seronja	seronja	0	NOUN	seronja	True	True	True
assignee	NOUN	poverenik	poverenik	0	NOUN	poverenik	True	True	True
assist	NOUN	asistirati	asistirati	0	NOUN		True	False	False
assist	VERB	asistirati	asistirati	0	VERB	asistirati	True	True	True
associate	ADJ	stručni saradnik	stručni saradnik	0	MWE		True	False	False
associate	NOUN	stručni saradnik	stručni saradnik	0	MWE		True	False	False
associate	VERB	stručni saradnik	stručni saradnik	0	MWE		True	False	False
association	NOUN	udruženje	udruženje	0	NOUN	udruženje	True	True	True
assurance	NOUN	uverenje	uverenje	0	NOUN	uverenje	True	True	True
assure	VERB	uveriti	uveriti	0	VERB	uveriti	True	True	True
assured	ADJ	uvereni	uvereni	0	ADJ	uveren	True	False	False
assuredly	ADV	sigurno	sigurno	0	ADV	sigurno	True	True	True
astonishingly	ADV	zapanjujuće	zapanjujuće	0	ADV	zapanjujuće	True	True	True
astonishment	NOUN	čuđenje	čuđenje	0	NOUN	čuđenje	True	True	True
astray	ADV	zalutao	zalutao	0	ADV		True	False	False
astrologer	NOUN	astrolog	astrolog	0	NOUN	astrolog	True	True	True
astronomer	NOUN	astronom	astronom	0	NOUN	astronom	True	True	True
asylum	NOUN	azilu	azilu	0	NOUN	azil	True	False	False
asymmetry	NOUN	asimetrija	asimetrija	0	NOUN	asimetrija	True	True	True
atherosclerosis	NOUN	ateroskleroza	ateroskleroza	0	NOUN	ateroskleroza	True	True	True
atone	VERB	iskupiti	iskupiti	0	VERB	iskupiti	True	True	True
atrocious	ADJ	grozan	grozan	0	ADJ	grozan	True	True	True
atrocity	NOUN	zverstvo	zverstvo	0	NOUN	zverstvo	True	True	True
atrophy	NOUN	atrofija	atrofija	0	NOUN	atrofija	True	True	True
atrophy	VERB	atrofija	atrofija	0	VERB		True	False	False
attack	NOUN	napad	napad	0	NOUN	napad	True	True	True
attack	VERB	napad	napad	0	VERB		True	False	False
attacking	ADJ	napadajući	napadajući	0	ADJ		True	False	False
attainable	ADJ	dostižan	dostižan	0	ADJ	dostižan	True	True	True
attempt	NOUN	pokušaj	pokušaj	0	NOUN	pokušaj	True	True	True
attempt	VERB	pokušaj	pokušaj	0	VERB	pokušati	True	False	False
attendance	NOUN	pohađanje	pohađanje	0	NOUN	pohađanje	True	True	True
attendant	ADJ	pratilac	pratilac	0	ADJ		True	False	False
attendant	NOUN	pratilac	pratilac	0	NOUN	pratilac	True	True	True
attentive	ADJ	pažljiv	pažljiv	0	ADJ	pažljiv	True	True	True
attenuation	NOUN	slabljenje	slabljenje	0	NOUN	slabljenje	True	True	True
attest	VERB	atest	atest	0	VERB		True	False	False
attestation	NOUN	atestiranje	atestiranje	0	NOUN	atestiranje	True	True	True
attorney	NOUN	advokat	advokat	0	NOUN	advokat	True	True	True
auction	NOUN	aukcija	aukcija	0	NOUN	aukcija	True	True	True
auction	VERB	aukcija	aukcija	0	VERB		True	False	False
audience	NOUN	publike	publike	0	NOUN	publika	True	False	False
auditor	NOUN	revizor	revizor	0	NOUN	revizor	True	True	True
aunt	NOUN	tetka	tetka	0	NOUN	tetak	True	False	False
auspicious	ADJ	povoljno	povoljno	0	ADJ	povoljan	True	False	False
austere	ADJ	strog	strog	0	ADJ	strog	True	True	True
authentic	ADJ	autentičan	autentičan	0	ADJ	autentičan	True	True	True
authenticate	VERB	autentifikovati	autentifikovati	0	VERB		True	False	False
authentication	NOUN	autentikacija	autentikacija	0	NOUN		True	False	False
authenticity	NOUN	autentičnost	autentičnost	0	NOUN	autentičnost	True	True	True
author	NOUN	autor	autor	0	NOUN	autor	True	True	True
author	VERB	autor	autor	0	VERB		True	False	False
authoritative	ADJ	merodavan	merodavan	0	ADJ	merodavan	True	True	True
authority	NOUN	uprava	uprava	0	NOUN	uprava	True	True	True
authorization	NOUN	ovlašćenje	ovlašćenje	0	NOUN	ovlašćenje	True	True	True
authorize	VERB	ovlastiti	ovlastiti	0	VERB	ovlastiti	True	True	True
automatic	ADJ	automatski	automatski	0	ADJ	automatski	True	True	True
automatic	NOUN	automatski	automatski	0	NOUN		True	False	False
autopsy	NOUN	obdukcija	obdukcija	0	NOUN	obdukcija	True	True	True
autopsy	VERB	obdukcija	obdukcija	0	VERB		True	False	False
avalanche	NOUN	lavina	lavina	0	NOUN	lavina	True	True	True
avalanche	VERB	lavina	lavina	0	VERB		True	False	False
avarice	NOUN	srebroljublje	srebroljublje	0	NOUN		True	False	False
avenger	NOUN	osvetnik	osvetnik	0	NOUN	osvetnik	True	True	True
averse	ADJ	averse	averse	0	ADJ		True	False	False
aversion	NOUN	odbojnost	odbojnost	0	NOUN	odbojnost	True	True	True
avoid	VERB	izbegavati	izbegavati	0	VERB	izbegavati	True	True	True
avoidance	NOUN	izbegavanje	izbegavanje	0	NOUN	izbegavanje	True	True	True
await	VERB	čekati	čekati	0	VERB	čekati	True	True	True
award	NOUN	nagrada	nagrada	0	NOUN	nagrada	True	True	True
award	VERB	nagrada	nagrada	0	VERB		True	False	False
awful	ADJ	grozno	grozno	0	ADJ	grozan	True	False	False
awful	ADV	grozno	grozno	0	ADV	grozno	True	True	True
awkwardness	NOUN	nespretnost	nespretnost	0	NOUN	nespretnost	True	True	True
axiom	NOUN	aksioma	aksioma	0	NOUN	aksioma	True	True	True
axiomatic	ADJ	aksiomatski	aksiomatski	0	ADJ	aksiomatski	True	True	True
baboon	NOUN	pavijan	pavijan	0	NOUN	pavijan	True	True	True
baby	NOUN	beba	beba	0	NOUN	beba	True	True	True
baby	VERB	beba	beba	0	VERB		True	False	False
babysitter	NOUN	dadilja	dadilja	0	NOUN	dadilja	True	True	True
backbone	NOUN	kičmeni stub	kičmeni stub	0	MWE		True	False	False
backer	NOUN	backer	backer	0	NOUN		True	False	False
backwards	ADV	unazad	unazad	0	ADV	unazad	True	True	True
backwater	NOUN	rukavac	rukavac	0	NOUN	rukavac	True	True	True
bacteria	NOUN	bakterije	bakterije	0	NOUN	bakterija	True	False	False
