word_en	pos_en	word_sr	pos_sr	word_sr_1	pos_sr_1	word_sr_2	pos_sr_2	word_sr_3	pos_sr_3	word_sr_full	reflexive	lemma_sr	gpt_PoS_valid	gpt_lemma_valid	gpt_valid
acquire	VERB	steci	VERB	steci	VERB	steći	VERB	steći	VERB	steci	0	steći	True	False	False
acquiring	NOUN	sticanje	NOUN	sticanje	NOUN	sticanje	NOUN	sticanje	NOUN	sticanje	0	sticanje	True	True	True
acrobat	NOUN	akrobat	NOUN	akrobat	NOUN	akrobat	NOUN	akrobat	NOUN	akrobat	0	akrobat	True	True	True
actionable	ADJ	tuživ	ADJ	tuživ	ADJ	tuživ	ADJ	tužan	ADJ	tuživ	0		True	False	False
adder	NOUN	zmija	NOUN	zmija	NOUN	guja	NOUN	guja	NOUN	zmija	0	zmija	True	True	True
address	VERB	adresirati	VERB	adresirati	VERB	adresirati	VERB	adresirati	VERB	adresirati	0	adresirati	True	True	True
addresses	NOUN	adrese	NOUN	adrese	NOUN	adrese	NOUN	adrese	NOUN	adrese	0	adresa	True	False	False
adhere	VERB	pridržavati	VERB	pridržavati se	VERB	pridržavati se	VERB	pridržavati se	VERB	pridržavati	0	pridržavati	True	True	True
adjudicate	VERB	presuditi	VERB	presuditi	VERB	sudiiti	VERB	presuditi	VERB	presuditi	0	presuditi	True	True	True
administrative	ADJ	administrativni	ADJ	administrativni	ADJ	administrativni	ADJ	administrativni	ADJ	administrativni	0	administrativan	True	False	False
admirable	ADJ	divan	ADJ	divan	ADJ	divan	ADJ	divan	ADJ	divan	0	divan	True	True	True
admiral	NOUN	admiral	NOUN	admiral	NOUN	admirala	NOUN	admiral	NOUN	admiral	0	admiral	True	True	True
admiration	NOUN	divljenje	NOUN	divljenje	NOUN	divljenje	NOUN	divljenje	NOUN	divljenje	0	divljenje	True	True	True
admire	VERB	diviti	VERB	diviti se	VERB	diviti se	VERB	diviti se	VERB	diviti	0	diviti	True	True	True
admissible	ADJ	dopušten	ADJ	dopušten	ADJ	dopustiv	ADJ	dopustivo	ADJ	dopušten	0	dopušten	True	True	True
admonition	NOUN	opomena	NOUN	opomena	NOUN	opomena	NOUN	opomena	NOUN	opomena	0	opomena	True	True	True
adorable	ADJ	obožavan	ADJ	obožavan	ADJ	ljupak	ADJ	presladak	ADJ	obožavan	0	obožavan	True	True	True
adoration	NOUN	obožavanje	NOUN	obožavanje	NOUN	obožavanje	NOUN	obožavanje	NOUN	obožavanje	0	obožavanje	True	True	True
adore	VERB	obožavati	VERB	obožavati	VERB	obožavati	VERB	obožavati	VERB	obožavati	0	obožavati	True	True	True
adrift	ADJ	bezuspešan	ADJ	bezuspešan	ADJ	izgubljen	ADJ	bez kontrole	ADJ	bezuspešan	0	bezuspešan	True	True	True
adrift	ADV	izgubljen	ADV	bez kontrole	ADJ	bez smjera	ADJ	bez kontrole	ADJ	izgubljen	0		True	False	False
adultery	NOUN	preljuba	NOUN	preljuba	NOUN	preljuba	NOUN	preljuba	NOUN	preljuba	0	preljuba	True	True	True
advance	ADJ	unaprijed	ADJ	unaprijed	ADJ	unaprijediti	VERB	unapred	ADJ	unaprijed	0		True	False	False
advance	NOUN	unapređenje	NOUN	unaprijed	ADJ	unapređenje	NOUN	napredak	NOUN	unapređenje	0	unapređenje	True	True	True
advance	VERB	unaprijediti	VERB	unaprijediti	VERB	unaprijediti	VERB	unaprediti	VERB	unaprijediti	0		True	False	False
advent	NOUN	dolazak	NOUN	dolazak	NOUN	dolazak	NOUN	dolazak	NOUN	dolazak	0	dolazak	True	True	True
adventure	NOUN	avantura	NOUN	avantura	NOUN	avantura	NOUN	avantura	NOUN	avantura	0	avantura	True	True	True
adventure	VERB	avanturisati	VERB	avantura	NOUN	avanturisati se	VERB	avantura	NOUN	avanturisati	0		True	False	False
adversary	NOUN	protivnik	NOUN	protivnik	NOUN	suparnik	NOUN	suparnik	NOUN	protivnik	0	protivnik	True	True	True
adverse	ADJ	nepovoljan	ADJ	nepovoljan	ADJ	nepovoljan	ADJ	nepovoljan	ADJ	nepovoljan	0	nepovoljan	True	True	True
adversity	NOUN	nevolja	NOUN	nevolja	NOUN	nedaće	NOUN	nesreća	NOUN	nevolja	0	nevolja	True	True	True
advice	NOUN	savet	NOUN	savet	NOUN	savet	NOUN	savet	NOUN	savet	0	savet	True	True	True
advisable	ADJ	preporučljiv	ADJ	preporučljiv	ADJ	preporučljiv	ADJ	preporučljiv	ADJ	preporučljiv	0	preporučljiv	True	True	True
advise	VERB	savetovati	VERB	savetovati	VERB	savetovati	VERB	savetovati	VERB	savetovati	0	savetovati	True	True	True
advised	ADJ	savetovan	ADJ	savetovan	ADJ	obavešten	ADJ	savetovan	ADJ	savetovan	0	savetovan	True	True	True
adviser	NOUN	savetnik	NOUN	savetnik	NOUN	savetnik	NOUN	savetnik	NOUN	savetnik	0	savetnik	True	True	True
advocacy	NOUN	zagovaranje	NOUN	zagovaranje	NOUN	zagovaranje	NOUN	zastupanje	NOUN	zagovaranje	0	zagovaranje	True	True	True
advocate	NOUN	zagovornik	NOUN	zagovornik	NOUN	zagovornik	NOUN	zagovornik	NOUN	zagovornik	0	zagovornik	True	True	True
advocate	VERB	zagovarati	VERB	zagovarati	VERB	zagovarati	VERB	zagovarati	VERB	zagovarati	0	zagovarati	True	True	True
aesthetics	NOUN	estetika	NOUN	estetika	NOUN	estetika	NOUN	estetika	NOUN	estetika	0	estetika	True	True	True
affection	NOUN	naklonost	NOUN	naklonost	NOUN	naklonost	NOUN	naklonost	NOUN	naklonost	0	naklonost	True	True	True
affirm	VERB	potvrditi	VERB	potvrditi	VERB	potvrditi	VERB	potvrditi	VERB	potvrditi	0	potvrditi	True	True	True
affirmatively	ADV			potvrdno	ADJ	potvrdno	ADJ	potvrdno	ADJ		0		False	False	False
afflict	VERB	mučiti	VERB	mučiti	VERB	pogoditi	VERB	mučiti	VERB	mučiti	0	mučiti	True	True	True
affliction	NOUN	patnja	NOUN	patnja	NOUN	nevolja	NOUN	nevolja	NOUN	patnja	0	patnja	True	True	True
affluence	NOUN	bogatstvo	NOUN	bogatstvo	NOUN	bogatstvo	NOUN	bogatstvo	NOUN	bogatstvo	0	bogatstvo	True	True	True
affront	NOUN	uvreda	NOUN	uvreda	NOUN	uvreda	NOUN	uvreda	NOUN	uvreda	0	uvreda	True	True	True
affront	VERB	uvrediti	VERB	uvreda	NOUN	uvrediti	VERB	uvreda	NOUN	uvrediti	0	uvrediti	True	True	True
afraid	ADJ	uplašen	ADJ	uplašen	ADJ	uplašen	ADJ	uplašen	ADJ	uplašen	0	uplašen	True	True	True
aftermath	NOUN	posledice	NOUN	posledice	NOUN	posledice	NOUN	posledice	NOUN	posledice	0	posledica	True	False	False
aga	NOUN	aga	NOUN	aga	NOUN	aga	NOUN	aga	NOUN	aga	0	aga	True	True	True
aggravate	VERB	pogoršati	VERB	pogoršati	VERB	pogoršati	VERB	pogoršati	VERB	pogoršati	0	pogoršati	True	True	True
aggravated	ADJ	pogoršan	ADJ	pogoršan	ADJ	pogoršan	ADJ	pogoršan	ADJ	pogoršan	0	pogoršan	True	True	True
aggravating	ADJ	iritantan	ADJ	iritantan	ADJ	iritantan	ADJ	iritantan	ADJ	iritantan	0	iritantan	True	True	True
aggravation	NOUN	pogoršanje	NOUN	pogoršanje	NOUN	pogoršanje	NOUN	pogoršanje	NOUN	pogoršanje	0	pogoršanje	True	True	True
aggression	NOUN	agresija	NOUN	agresija	NOUN	agresija	NOUN	agresija	NOUN	agresija	0	agresija	True	True	True
aggressive	ADJ	agresivan	ADJ	agresivan	ADJ	agresivan	ADJ	agresivan	ADJ	agresivan	0	agresivan	True	True	True
aggressor	NOUN	agresor	NOUN	agresor	NOUN	agresor	NOUN	agresor	NOUN	agresor	0	agresor	True	True	True
aghast	ADJ	prestrašen	ADJ	prestrašen	ADJ	užasnut	ADJ	užasnuto	ADJ	prestrašen	0	prestrašen	True	True	True
agitate	VERB	uznemiriti	VERB	uznemiriti	VERB	uznemiriti	VERB	uzburkati	VERB	uznemiriti	0	uznemiriti	True	True	True
agitated	ADJ	uzrujan	ADJ	uzrujan	ADJ	uzbuđen	ADJ	uzrujan	ADJ	uzrujan	0	uzrujan	True	True	True
agitation	NOUN	uzbuđenje	NOUN	uzbuđenje	NOUN	uzbuđenje	NOUN	uzbuđenje	NOUN	uzbuđenje	0	uzbuđenje	True	True	True
agonize	VERB	patiti	VERB	patiti se	VERB	mučiti se	VERB	agonija	NOUN	patiti	0	patiti	True	True	True
agonizing	ADJ	mučan	ADJ	mučan	ADJ	mučan	ADJ	agoniziranje	NOUN	mučan	0	mučan	True	True	True
agony	NOUN	agonija	NOUN	agonija	NOUN	agonija	NOUN	agonija	NOUN	agonija	0	agonija	True	True	True
agree	VERB	složiti	VERB	složiti se	VERB	složiti se	VERB	složiti se	VERB	složiti	0	složiti	True	True	True
agreeable	ADJ	prijatan	ADJ	prijatan	ADJ	prijatan	ADJ	prijatan	ADJ	prijatan	0	prijatan	True	True	True
agreed	ADJ	dogovoren	ADJ	dogovoren	ADJ	dogovoren	ADJ	dogovoren	ADJ	dogovoren	0	dogovoren	True	True	True
agreement	NOUN	dogovor	NOUN	dogovor	NOUN	dogovor	NOUN	dogovor	NOUN	dogovor	0	dogovor	True	True	True
ail	NOUN	bolest	NOUN	bolest	NOUN	bolest	NOUN	mučiti	VERB	bolest	0	bolest	True	True	True
ail	VERB	mučiti	VERB	mučiti	VERB	mučiti	VERB	mučiti	VERB	mučiti	0	mučiti	True	True	True
ailing	ADJ	bolestan	ADJ	bolestan	ADJ	bolestan	ADJ	bolestan	ADJ	bolestan	0	bolestan	True	True	True
air	VERB	provjetravati	VERB	provjetravati	VERB	provjetriti	VERB	provetriti	VERB	provjetravati	0		True	False	False
airport	NOUN	aerodrom	NOUN	aerodrom	NOUN	aerodrom	NOUN	aerodrom	NOUN	aerodrom	0	aerodrom	True	True	True
airs	NOUN	nadmenost	NOUN	nadmenost	NOUN	nadmenost	NOUN	hirovi	NOUN	nadmenost	0	nadmenost	True	True	True
akin	ADJ	sličan	ADJ	sličan	ADJ	srodan	ADJ	srodan	ADJ	sličan	0	sličan	True	True	True
alarm	NOUN	alarm	NOUN	alarm	NOUN	alarm	NOUN	alarm	NOUN	alarm	0	alarm	True	True	True
alarm	VERB	uplašiti	VERB	uplašiti	VERB	uplašiti	VERB	uplašiti	VERB	uplašiti	0	uplašiti	True	True	True
alarming	ADJ	uznemirujući	ADJ	uznemirujući	ADJ	uznemirujući	ADJ	uznemiravajući	ADJ	uznemirujući	0	uznemirujući	True	True	True
alb	NOUN	alb	NOUN	alb	NOUN	bijela odjeća	ADJ	bijelo odijelo	NOUN	alb	0		True	False	False
alcoholism	NOUN	alkoholizam	NOUN	alkoholizam	NOUN	alkoholizam	NOUN	alkoholizam	NOUN	alkoholizam	0	alkoholizam	True	True	True
alert	VERB	upozoriti	VERB	upozoriti	VERB	upozoriti	VERB	upozoriti	VERB	upozoriti	0	upozoriti	True	True	True
alertness	NOUN	budnost	NOUN	budnost	NOUN	budnost	NOUN	budnost	NOUN	budnost	0	budnost	True	True	True
alert	NOUN	upozorenje	NOUN	upozorenja	NOUN	obaveštenja	NOUN	upozorenja	NOUN	upozorenje	0	upozorenje	True	True	True
alien	ADJ	vanzemaljski	ADJ	vanzemaljski	ADJ	stran	ADJ	stran	ADJ	vanzemaljski	0	vanzemaljski	True	True	True
alien	NOUN	vanzemaljac	NOUN	vanzemaljac	NOUN	stranac	NOUN	vanzemaljac	NOUN	vanzemaljac	0	vanzemaljac	True	True	True
alien	VERB	otuđiti	VERB	otuđiti	VERB	otuđiti	VERB	otuđiti	VERB	otuđiti	0	otuđiti	True	True	True
alienate	VERB	otuđiti	VERB	otuđiti	VERB	otuđiti	VERB	otuđiti	VERB	otuđiti	0	otuđiti	True	True	True
alienated	ADJ	otuđen	ADJ	otuđen	ADJ	otuđen	ADJ	otuđen	ADJ	otuđen	0	otuđen	True	True	True
alienation	NOUN	otuđenje	NOUN	otuđenje	NOUN	otuđenje	NOUN	otuđenje	NOUN	otuđenje	0	otuđenje	True	True	True
alive	ADJ	živ	ADJ	živ	ADJ	živ	ADJ	živ	ADJ	živ	0	živ	True	True	True
allegation	NOUN	optužba	NOUN	optužba	NOUN	optužba	NOUN	optužba	NOUN	optužba	0	optužba	True	True	True
allegiance	NOUN	odanost	NOUN	odanost	NOUN	vernost	NOUN	odanost	NOUN	odanost	0	odanost	True	True	True
alliance	NOUN	savez	NOUN	savez	NOUN	savez	NOUN	savez	NOUN	savez	0	savez	True	True	True
allied	ADJ	savezni	ADJ	savezni	ADJ	saveznički	ADJ	savezni	ADJ	savezni	0	savezni	True	True	True
allure	NOUN	privlačnost	NOUN	privlačnost	NOUN	zavođenje	NOUN	privlačnost	NOUN	privlačnost	0	privlačnost	True	True	True
allure	VERB	zavesti	VERB	zavesti	VERB	zavesti	VERB	zavesti	VERB	zavesti	0	zavesti	True	True	True
ally	NOUN	saveznik	NOUN	saveznik	NOUN	saveznik	NOUN	saveznik	NOUN	saveznik	0	saveznik	True	True	True
ally	VERB			saveznik	NOUN	saveznik	NOUN	saveznik	NOUN		0		False	False	False
aloha	NOUN	aloha	NOUN	aloha	NOUN	pozdrav	NOUN	aloha	NOUN	aloha	0		True	False	False
altercation	NOUN	sukob	NOUN	sukob	NOUN	prepirka	NOUN	svađa	NOUN	sukob	0	sukob	True	True	True
amaze	VERB	zadiviti	VERB	zadiviti	VERB	zadiviti	VERB	zadiviti	VERB	zadiviti	0	zadiviti	True	True	True
amazingly	ADV	neverovatno	ADV	neverovatno	ADV	neverovatno	ADV	neverovatno	ADJ	neverovatno	0	neverovatno	True	True	True
ambassador	NOUN	ambasador	NOUN	ambasador	NOUN	ambasador	NOUN	ambasador	NOUN	ambasador	0	ambasador	True	True	True
ambition	NOUN	ambicija	NOUN	ambicija	NOUN	ambicija	NOUN	ambicija	NOUN	ambicija	0	ambicija	True	True	True
ambition	VERB			ambicija	NOUN	ambicija	NOUN	ambicija	NOUN		0		False	False	False
ambulance	NOUN	hitna pomoć	MWE	hitna pomoć	NOUN	hitna pomoć	NOUN	hitna pomoć	NOUN	hitna pomoć	0		True	False	False
ambush	NOUN	zasjeda	NOUN	zasjeda	NOUN	zasjeda	NOUN	zaseda	NOUN	zasjeda	0		True	False	False
ambush	VERB			zasjeda	NOUN	zasjeda	NOUN	zasjeda	NOUN		0		False	False	False
amen	NOUN	amin	NOUN	amin	NOUN	amin	NOUN	amen	NOUN	amin	0	amin	True	True	True
amicable	ADJ	prijateljski	ADJ	prijateljski	ADJ	prijateljski	ADJ	prijateljski	ADJ	prijateljski	0	prijateljski	True	True	True
ammonia	NOUN	amonijak	NOUN	amonijak	NOUN	amonijak	NOUN	amonijak	NOUN	amonijak	0	amonijak	True	True	True
amnesty	NOUN	amnestija	NOUN	amnestija	NOUN	amnestija	NOUN	amnestija	NOUN	amnestija	0	amnestija	True	True	True
amnesty	VERB	amnestirati	VERB	amnestija	NOUN	amnestirati	VERB	amnestija	NOUN	amnestirati	0	amnestirati	True	True	True
amortization	NOUN	amortizacija	NOUN	amortizacija	NOUN	amortizacija	NOUN	amortizacija	NOUN	amortizacija	0	amortizacija	True	True	True
amour	NOUN	ljubav	NOUN	ljubav	NOUN	ljubavna afera	NOUN	ljubavna veza	NOUN	ljubav	0	ljubav	True	True	True
amphetamines	NOUN	amfetamini	NOUN	amfetamini	NOUN	amfetamini	NOUN	amfetamini	NOUN	amfetamini	0	amfetamin	True	False	False
amuse	VERB	zabaviti	VERB	zabaviti	VERB	zabaviti	VERB	zabaviti	VERB	zabaviti	0	zabaviti	True	True	True
amused	ADJ	zabavljen	ADJ	zabavljen	ADJ	zabavljen	ADJ	zabavljen	ADJ	zabavljen	0	zabavljen	True	True	True
amusement	NOUN	zabava	NOUN	zabava	NOUN	zabava	NOUN	zabava	NOUN	zabava	0	zabava	True	True	True
amusing	ADJ	zabavan	ADJ	zabavan	ADJ	zabavan	ADJ	zabavan	ADJ	zabavan	0	zabavan	True	True	True
anaconda	NOUN	anakonda	NOUN	anakonda	NOUN	anakonda	NOUN	anakonda	NOUN	anakonda	0	anakonda	True	True	True
analyst	NOUN	analitičar	NOUN	analitičar	NOUN	analitičar	NOUN	analitičar	NOUN	analitičar	0	analitičar	True	True	True
anarchism	NOUN	anarhizam	NOUN	anarhizam	NOUN	anarhizam	NOUN	anarhizam	NOUN	anarhizam	0	anarhizam	True	True	True
anarchist	NOUN	anarhista	NOUN	anarhista	NOUN	anarhista	NOUN	anarhista	NOUN	anarhista	0	anarhista	True	True	True
anarchy	NOUN	anarhija	NOUN	anarhija	NOUN	anarhija	NOUN	anarhija	NOUN	anarhija	0	anarhija	True	True	True
anathema	NOUN	anatema	NOUN	anatema	NOUN	anatema	NOUN	anatema	NOUN	anatema	0	anatema	True	True	True
ancestral	ADJ	nasljedan	ADJ	preci	NOUN	nasljedan	ADJ	porodičan	ADJ	nasljedan	0		True	False	False
anchorage	NOUN	sidro	NOUN	sidro	NOUN	sidrište	NOUN	sidrište	NOUN	sidro	0	sidro	True	True	True
angel	NOUN	anđeo	NOUN	anđeo	NOUN	anđeo	NOUN	anđeo	NOUN	anđeo	0	anđeo	True	True	True
angelic	ADJ	anđeoski	ADJ	anđeoski	ADJ	anđeoski	ADJ	anđeoski	ADJ	anđeoski	0	anđeoski	True	True	True
anger	NOUN	bes	NOUN	bes	NOUN	bes	NOUN	bes	NOUN	bes	0	bes	True	True	True
anger	VERB	naljutiti	VERB	bijes	NOUN	naljutiti	VERB	ljutnja	NOUN	naljutiti	0	naljutiti	True	True	True
angina	NOUN	angina	NOUN	angina	NOUN	angina	NOUN	angina	NOUN	angina	0	angina	True	True	True
angle	VERB	uhvatiti pod kutom	MWE	kut	NOUN	uhvatiti pod kutom	VERB	ugao	NOUN	uhvatiti pod kutom	0		True	False	False
angling	NOUN	ribolov	NOUN	ribolov	NOUN	ribolov	NOUN	pecanje	NOUN	ribolov	0	ribolov	True	True	True
angry	ADJ	ljut	ADJ	ljut	ADJ	ljut	ADJ	ljut	ADJ	ljut	0	ljut	True	True	True
anguish	NOUN	tuga	NOUN	tuga	NOUN	tuga	NOUN	tuga	NOUN	tuga	0	tuga	True	True	True
anguish	VERB			tuga	NOUN	patnja	NOUN	tuga	NOUN		0		False	False	False
animate	VERB	oživeti	VERB	oživeti	VERB	animirati	VERB	oživeti	VERB	oživeti	0	oživeti	True	True	True
animated	ADJ	animiran	ADJ	animiran	ADJ	animiran	ADJ	animiran	ADJ	animiran	0	animiran	True	True	True
animosity	NOUN	neprijateljstvo	NOUN	neprijateljstvo	NOUN	animozitet	NOUN	neprijateljstvo	NOUN	neprijateljstvo	0	neprijateljstvo	True	True	True
animus	NOUN	animozitet	NOUN	animozitet	NOUN	animozitet	NOUN	zloba	NOUN	animozitet	0	animozitet	True	True	True
annihilate	VERB	uništiti	VERB	uništiti	VERB	uništiti	VERB	uništiti	VERB	uništiti	0	uništiti	True	True	True
annihilated	ADJ	uništen	ADJ	uništen	ADJ	uništen	ADJ	uništen	ADJ	uništen	0	uništen	True	True	True
